gene	logFC	logCPM	PValue	FDR
Solyc00g024690	0	-1.66887626930952	1	1
Solyc00g025290	-0.235419713482691	2.40340528746593	0.527382828496397	0.996590902766731
Solyc00g025300	0	-1.66887626930952	1	1
Solyc00g025400	1.35754997724685	-0.0423390348338328	0.0755478020267318	0.214763303944197
Solyc00g025500	0	-1.66887626930952	1	1
Solyc00g025510	0	-1.66887626930952	1	1
Solyc00g025520	0	-1.66887626930952	1	1
Solyc00g025530	0	-1.66887626930952	1	1
Solyc00g025540	0	-1.66887626930952	1	1
Solyc00g025650	0	-1.66887626930952	1	1
Solyc00g025660	0	-1.66887626930952	1	1
Solyc00g026160	-5.112239854126	-0.616048496436028	0.001235203299711	0.00596508204548241
Solyc00g026860	0	-1.66887626930952	1	1
Solyc00g026870	0	-1.66887626930952	1	1
Solyc00g026880	0	-1.66887626930952	1	1
Solyc00g026890	0	-1.66887626930952	1	1
Solyc00g026900	0	-1.66887626930952	1	1
Solyc00g027120	0	-1.66887626930952	1	1
Solyc00g027130	0.0741453005657093	-0.93460527583435	1	1
Solyc00g027140	-0.253171047474285	-0.34957171070896	0.83616599729297	1
Solyc00g027640	0	-1.66887626930952	1	1
Solyc00g027650	0	-1.66887626930952	1	1
Solyc00g027660	0	-1.66887626930952	1	1
Solyc00g027670	0	-1.66887626930952	1	1
Solyc00g027770	-1.08963254448251	6.18820407990541	4.11591837726689e-09	5.33533025335377e-08
Solyc00g027870	0	-1.66887626930952	1	1
Solyc00g027970	0	-1.66887626930952	1	1
Solyc00g027980	0	-1.66887626930952	1	1
Solyc00g027990	0	-1.66887626930952	1	1
Solyc00g028090	0	-1.66887626930952	1	1
Solyc00g028100	0	-1.66887626930952	1	1
Solyc00g028110	0	-1.66887626930952	1	1
Solyc00g028120	0	-1.66887626930952	1	1
Solyc00g028420	-1.8381491780605	-1.55503822971758	1	1
Solyc00g028520	0	-1.66887626930952	1	1
Solyc00g028530	0	-1.66887626930952	1	1
Solyc00g028540	0	-1.66887626930952	1	1
Solyc00g028550	0	-1.66887626930952	1	1
Solyc00g028560	0	-1.66887626930952	1	1
Solyc00g028760	2.33027832592151	0.696877182959773	0.0128821692948019	0.0474380106279138
Solyc00g028960	0	-1.66887626930952	1	1
Solyc00g029060	0	-1.66887626930952	1	1
Solyc00g029070	0	-1.66887626930952	1	1
Solyc00g029080	0	-1.66887626930952	1	1
Solyc00g029090	0	-1.66887626930952	1	1
Solyc00g029190	-1.86999181370033	-1.55254221346359	0.999999999999993	1
Solyc00g029290	0	-1.66887626930952	1	1
Solyc00g029300	0	-1.66887626930952	1	1
Solyc00g029500	0	-1.66887626930952	1	1
Solyc00g029800	-1.83813053200495	-1.55503822971758	0.999999999999997	1
Solyc00g030000	-3.16987404689044	-1.34494409469435	0.274027876937636	0.614638975523641
Solyc00g030100	0	-1.66887626930952	1	1
Solyc00g030110	0	-1.66887626930952	1	1
Solyc00g030210	0	-1.66887626930952	1	1
Solyc00g030510	-1.86653129676017	-1.55281258034706	1	1
Solyc00g030520	-0.0822970562906348	1.98876935549101	0.923259598872359	1
Solyc00g030820	2.66720569864684	-0.860214933924315	0.0590798397824867	0.174743684194397
Solyc00g031020	0	-1.66887626930952	1	1
Solyc00g031030	0	-1.66887626930952	1	1
Solyc00g031040	0	-1.66887626930952	1	1
Solyc00g031050	0	-1.66887626930952	1	1
Solyc00g031060	0	-1.66887626930952	1	1
Solyc00g031360	0	-1.66887626930952	1	1
Solyc00g031370	0	-1.66887626930952	1	1
Solyc00g031380	0	-1.66887626930952	1	1
Solyc00g031390	0	-1.66887626930952	1	1
Solyc00g031490	0	-1.66887626930952	1	1
Solyc00g031500	0	-1.66887626930952	1	1
Solyc00g031700	0	-1.66887626930952	1	1
Solyc00g031710	0	-1.66887626930952	1	1
Solyc00g031720	0	-1.66887626930952	1	1
Solyc00g031730	0	-1.66887626930952	1	1
